num_distr,mouse.t+B1:B193ime,mouse.clicked_name,,,,
5,3.3214187,target',,,,
5,3.0974544,target',,,,
5,1.8057391,target',,,,
5,1.2735252,target',,,,
5,1.7376379,target',,,,
5,1.3886063,target',,,,
5,3.4384362,target',,,,
5,1.7297863,target',,,,
5,1.9628141,target',,,Mean RT of size 5,1.636406461
5,2.0601232,target',,,,
5,3.4827416,target',,,Mean RT of size 10,1.704212093
5,9.115913500019815],],,,,
5,4.3251754,target',,,,
5,1.9993822,target',,,,
5,1.644778200017754],],,,,
5,6.2673032,target',,,,
5,4.3454772,target',,,,
5,1.9182536,target',,,,
5,2.8302786,target',,,,
5,3.6835525,target',,,,
5,6.792021600005683],],,,,
5,3.7394109,target',,,,
5,4.6945529,target',,,,
5,3.4480623,target',,,,
5,1.5273117,target',,,,
5,2.8946688,target',,,,
5,4.1155167,target',,,,
5,6.392310000024736],],,,,
5,1.5998165,target',,,,
5,6.441059199976735],],,,,
5,4.0535492,target',,,,
5,1.4702013,target',,,,
5,0.8031318999710493],],,,,
5,0.8692448000074364],],,,,
5,3.3975377,target',,,,
5,1.6717681,target',,,,
5,8.436058099963702],],,,,
5,17.88888590002898],],,,,
5,1.9548646,target',,,,
5,13.21922180004185],],,,,
5,3.4382577,target',,,,
5,1.8582923,target',,,Slope of line= (y2-y1)/x2-x1,
5,1.503149600001052],],,,,
5,0.5821498999721371],],,,,
5,2.4705449000466615],],,,,
5,2.6635284,target',,,,
5,3.3333911,target',,,x1= 5,y1= 1.636406461
5,1.9773915999685414],],,,,
5,1.1195273000048473],],,,,
5,1.5887415,target',,,x2= 10, y2 = 1.704212093
5,5.609487999987323],],,,,
5,2.0167955,target',,,,
5,1.6148632999975234],],,,,
5,2.8650128000299446],],,,,
5,3.757361199997831],],,,,
5,3.196409100026358],],,,,
5,1.3093114999937825],],,,,
5,3.556909699982498],],,,,
5,2.2374016,target',,,Slope of line = -4.8958,
5,1.8317561,target',,,,
5,1.8264142,target',,,,
5,3.397023,target',,,,
5,1.7277215,target',,,,
5,3.6217117,target',,,,
5,4.383194499998353],],,,,
5,2.983198900008574],],,,,
5,1.7722258999710903],],,,,
5,3.129357199999504],],,,,
5,1.7034809,target',,,,
5,4.632725399977062],],,,,
5,2.1619009,target',,,,
5,2.8762477000127546],],,,,
5,1.7250601000268944],],,,,
5,0.17587350000394508],],,,,
5,0.6119280999992043],],,,,
5,1.9019399000098929],],,,,
5,0.807776500005275],],,,,
5,0.8218847999814898],],,,,
5,0.7604711999883875],],,,,
5,0.7758731000358239],],,,,
5,0.996704499993939],],,,,
5,2.0459474999806844],],,,,
5,1.0226134000113234],],,,,
5,1.0344072000007145],],,,,
5,0.641288299986627],],,,,
5,1.097762799996417],],,,,
5,1.7899088999838568],],,,,
5,0.23451959999511018],],,,,
5,0.9844846000196412],],,,,
5,0.49968240002635866],],,,,
5,0.9956596000120044],],,,,
5,0.255468400020618],],,,,
5,0.7931565000326373],],,,,
5,0.8024285000283271],],,,,
5,0.7702191999997012],],,,,
5,0.8103518999996595],],,,,
5,1.3311222000047565],],,,,
5,0.283166799985338],],,,,
5,2.7683765,target',,,,
5,1.6842207,target',,,,
5,2.2149991,target',,,,
5,1.9495201,target',,,,
5,1.6006995,target',,,,
5,2.1824487,target',,,,
5,1.6111816,target',,,,
5,2.1096618,target',,,,
5,2.1446474,target',,,,
5,2.7597713,target',,,,
5,1.5473375,target',,,,
5,2.1109023,target',,,,
5,1.8819549,target',,,,
5,1.610618,target',,,,
5,1.5118525,target',,,,
5,2.3055116,target',,,,
5,1.5138815,target',,,,
5,1.8301876,target',,,,
5,2.0275433,target',,,,
5,1.478489,target',,,,
5,1.7118587,target',,,,
5,1.4126809,target',,,,
5,8.6313954,target',,,,
5,2.1608301,target',,,,
5,1.307143,target',,,,
5,1.6950436,target',,,,
5,2.0843222,target',,,,
5,1.9269525,target',,,,
5,1.7245325,target',,,,
5,1.1440174,target',,,,
